Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,0.073256350030413,0.0985099372490723,0.430048523355807,0,0,0,1.54875354069982,0.0165047320422027,-2.70534209044293E-07,-3.96192161757293E-06,0.0390566352258776,8.5330907332849E-07,0.0245928877731691,0,0,0,0,0,0,package://Bot/meshes/Chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Chassis.STL,,New-chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Power Bank,0.0732,0.0143850589491075,-3.27168847569226E-15,0,0,0,0.0975806283305884,0.000105814469687505,7.18177618527732E-20,6.18149424782917E-18,0.000275305566297267,2.01073342630101E-17,0.000178223607214106,0,0,0,0,0,0,package://Bot/meshes/Power Bank.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Power Bank.STL,,New-power bank-1,Origin_Power Bank Joint,,Power Bank Joint,fixed,-0.023685,-0.50327,0.12851,1.5708,0,1.5713,Chassis,0,0,0,,,,,,,,,,,,
Battery,0,0.0212740041828206,-1.38777878078145E-16,0,0,0,0.0888686283305884,5.47926091322645E-05,-3.50488228823458E-20,-3.10031264051815E-18,0.000181539941975464,-2.39997414663247E-19,0.000154566450677174,0,0,0,0,0,0,package://Bot/meshes/Battery.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Battery.STL,,New-battery-1,Origin_Battery Joint,,Battery Joint,fixed,0.17262,-0.42993,0.12851,1.5708,0,1.5745,Chassis,0,0,0,,,,,,,,,,,,
Left Rear Wheel,0.017,-0.0400278959854739,0.0300554968703227,0,0,0,0.0161899157381337,6.83865571850229E-06,-1.18158251659757E-21,-9.1775908525739E-22,5.80478743570855E-06,-1.90839648576411E-06,5.4646444695116E-06,0,0,0,0,0,0,package://Bot/meshes/Left Rear Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Left Rear Wheel.STL,,New-support-1/New-clamp-2,Origin_Left Rear Wheel Joint,Axis_Left Rear Wheel Joint,Left Rear Wheel Joint,continuous,0.27311,-0.53404,0.016515,-1.5708,0,3.1416,Chassis,0,1,0,,,,,,,,,,,,
Left Motor,0.0170000847357135,-0.0198397215207906,0.004152950727912,0,0,0,0.0628666055744514,4.32925923240514E-05,8.45254418419363E-13,-1.73490163987075E-10,4.32245126404725E-05,-4.6037285428239E-07,7.9488540067913E-06,0,0,0,0,0,0,package://Bot/meshes/Left Motor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Left Motor.STL,,New-support-1/New-motor-2,Origin_Left Motor Joint,Axis_Left Motor Joint,Left Motor Joint,continuous,0,0,0,0,0,0,Left Rear Wheel,0,1,0,,,,,,,,,,,,
Left Round Wheel,0.017,-0.05,0.0600000000000001,0,0,0,0.156514146001844,0.000103390636279718,1.11585948975329E-36,-6.95211497017247E-23,0.000103390636279718,1.66683754992319E-22,0.000196346996159313,0,0,0,0,0,0,package://Bot/meshes/Left Round Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Left Round Wheel.STL,,New-support-1/new-rear wheel-2,Origin_Left Round Wheel Joint,Axis_Left Round Wheel Joint,Left Round Wheel Joint,continuous,0,0.0370016062413412,0,0,0,0,Left Motor,0,1,0,,,,,,,,,,,,
Right Rear Wheel,-0.0170000000000001,-0.0400278959854739,0.238055496870323,0,0,0,0.0161899157381337,6.83865571850226E-06,-1.59927819397112E-21,1.34648782295458E-21,5.80478743570853E-06,-1.9083964857641E-06,5.46464446951159E-06,0,0,0,0,0,0,package://Bot/meshes/Right Rear Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Right Rear Wheel.STL,,New-support-2/New-clamp-2,Origin_Right Rear Wheel Joint,Axis_Right Rear Wheel Joint,Right Rear Wheel Joint,continuous,0.27311,-0.53404,0.016515,-1.5708,0,0,Chassis,0,1,0,,,,,,,,,,,,
Right Motor,-0.0169999152642865,-0.0198397215207906,0.004152950727912,0,0,0,0.0628666055744514,4.32925923240514E-05,8.45254418423422E-13,-1.73490163987994E-10,4.32245126404724E-05,-4.60372854282388E-07,7.94885400679129E-06,0,0,0,0,0,0,package://Bot/meshes/Right Motor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Right Motor.STL,,New-support-2/New-motor-2,Origin_Right Motor Joint,Axis_Right Motor Joint,Right Motor Joint,continuous,0,0,0.208,0,0,0,Right Rear Wheel,0,1,0,,,,,,,,,,,,
Right Round Wheel,-0.017,-0.05,0.268,0,0,0,0.156514146001844,0.000103390636279718,-1.94368867832977E-41,-6.65648952614325E-38,0.000103390636279718,-1.523220824894E-37,0.000196346996159313,0,0,0,0,0,0,package://Bot/meshes/Right Round Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Right Round Wheel.STL,,New-support-2/new-rear wheel-2,Origin_Right Round Wheel Joint,Axis_Right Round Wheel Joint,Right Round Wheel Joint,continuous,0,0.0370016062413412,-0.208,0,0,0,Right Motor,0,1,0,,,,,,,,,,,,
Left Front Block,-0.019,0.016995,0.014,0,0,0,0.0498879953913404,9.51260250780392E-06,-1.24029779000519E-21,-1.07289835214725E-21,1.25657196177918E-05,1.24231498930631E-21,1.26592177473751E-05,0,0,0,0,0,0,package://Bot/meshes/Left Front Block.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Left Front Block.STL,,New-block-1,Origin_Left Front Block Joint,Axis_Left Front Block Joint,Left Front Block Joint,continuous,-0.057887,-0.54304,0.034525,1.5708,0,0,Chassis,0,1,0,,,,,,,,,,,,
Left Idler Wheel,-0.0357623798604737,-0.0250000535050624,0.0140006894928014,0,0,0,0.0523222325921473,1.56126609879441E-05,-4.46507875660125E-06,-2.77887532391016E-10,1.40319252282098E-05,2.16112426363676E-11,1.82361581162256E-05,0,0,0,0,0,0,package://Bot/meshes/Left Idler Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Left Idler Wheel.STL,,New-front wheel-1,Origin_Left Idler Wheel Joint,Axis_Left Idler Wheel Joint,Left Idler Wheel Joint,continuous,0,0,0,0,0,0,Left Front Block,0,1,0,,,,,,,,,,,,
Right Front Block,-0.0189999999999999,0.016995,-0.24,0,0,0,0.0498879953913404,9.51260250780392E-06,-6.19140295352039E-22,-1.56385927765406E-21,1.25657196177918E-05,1.24231498930631E-21,1.26592177473751E-05,0,0,0,0,0,0,package://Bot/meshes/Right Front Block.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Right Front Block.STL,,New-block-2,Origin_Right Front Block Joint,Axis_Right Front Block Joint,Right Front Block Joint,continuous,-0.057887,-0.54304,0.034525,1.5708,0,0,Chassis,0,1,0,,,,,,,,,,,,
Right Idler Wheel,-0.0357623798604737,-0.0250000535050624,-0.0139993105071985,0,0,0,0.0523222325921473,1.56126609879441E-05,-4.46507875660125E-06,-2.77887532387518E-10,1.40319252282098E-05,2.16112426424398E-11,1.82361581162257E-05,0,0,0,0,0,0,package://Bot/meshes/Right Idler Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot/meshes/Right Idler Wheel.STL,,New-front wheel-2,Origin_Right Idler Wheel Joint,Axis_Right Idler Wheel Joint,Right Idler Wheel Joint,continuous,0,0,-0.226,0,0,0,Right Front Block,0,1,0,,,,,,,,,,,,
